Date,RFID_hex,Band,Genus,Species,Sex,Age,Time,Site,Mass,Tail_Length,Wing_Length,Fat_Code,R1_Percent_Rufous,R1_Black_Code,Back_Percent_Green,Gorget_Iridescence,Head_Iridescence,Breeding_Condition_Code,Body_Molt_Code,Gorget_Molt_Code,Head_Molt_Code,Tail_Molt_Code,Primary_Molt_Code
2018-10-12,3D6.1D593E19A4,610089676,Calypte,ANHU,M,AHY,16:22:00,BH,NA,NA,0,0,NA,NA,NA,10,10,NA,0,0,0,0,0
2018-10-12,3D6.1D593E19A6,A00001507,Selasphorus,ALHU,M,NA,16:20:00,BH,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-10-12,3D6.1D593E1958,A00001501,Selasphorus,ALHU,F,NA,16:15:00,BH,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-10-12,3D6.1D593E1969,A00001464,Calypte,ANHU,F,NA,16:10:00,BH,NA,NA,52,0,NA,NA,NA,42,6,NA,1,1,1,0,0
2018-10-12,3D6.1D593E19B1,A00001500,Selasphorus,ALHU,F,NA,15:50:00,BH,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-10-12,3D6.1D593E1971,A00001463,Calypte,ANHU,F,AHY,15:45:00,BH,5.2,NA,49,NA,NA,NA,NA,32,0,NA,NA,NA,NA,2,0
2018-10-12,3D6.1D593D45C0,910071167,Calypte,ANHU,F,NA,15:40:00,BH,NA,NA,0,NA,NA,NA,NA,24,0,0,NA,NA,NA,NA,NA
2018-10-12,3D6.1D593E19B3,A00001499,Selasphorus,ALHU,M,HY,15:33:00,BH,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-10-12,3D6.1D593D7849,A00001498,Selasphorus,ALHU,M,NA,15:23:00,BH,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-10-12,3D6.1D593E1987,A00001497,Selasphorus,ALHU,M,AHY,15:14:00,BH,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-10-12,3D6.1D593D7854,A00001496,Calypte,ANHU,M,HY,15:09:00,BH,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-10-12,3D6.1D593D780E,A00001462,Calypte,ANHU,F,NA,15:05:00,BH,NA,NA,51,0,NA,NA,NA,22,0,NA,0,0,0,0,0
2018-10-12,3D6.001881F773,610089571,Calypte,ANHU,M,AHY,15:04:00,BH,NA,NA,49,0,NA,NA,NA,9,9,NA,NA,NA,NA,0,0
2018-10-12,3D6.1D593D77CA,A00001495,Calypte,ANHU,M,NA,14:57:00,BH,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-10-12,3D6.1D593D782F,A00001494,Selasphorus,ALHU,M,HY,14:57:00,BH,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-10-12,3D6.1D593D780F,A00001493,Selasphorus,ALHU,F,NA,14:48:00,BH,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-10-12,3D6.1D593D780B,A00001492,Selasphorus,ALHU,M,NA,14:40:00,BH,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-10-12,3D6.1D593D77CF,A00001491,Selasphorus,ALHU,M,NA,14:32:00,BH,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-10-12,3D6.1D593D77C9,A00001490,Selasphorus,ALHU,F,NA,14:28:00,BH,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-10-12,3D6.1D593D7809,A00001489,Calypte,ANHU,M,NA,14:18:00,BH,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-10-12,3D6.1D593D781C,A00001488,Selasphorus,ALHU,M,NA,14:16:00,BH,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-10-12,3D6.1D593D77C3,A00001486,Calypte,ANHU,F,NA,14:00:00,BH,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-10-12,3D6.1D593D77C7,A00001487,Calypte,ANHU,F,AHY,13:53:00,BH,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-10-12,3D6.1D593D77E9,A00000642,Selasphorus,ALHU,F,NA,13:30:00,BH,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-10-12,3D6.1D593D7855,A00000643,Selasphorus,ALHU,F,NA,13:30:00,BH,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-10-12,3D6.1D593D77C1,A00000644,Selasphorus,ALHU,F,NA,13:20:00,BH,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-10-12,3D6.1D593D7861,A00000685,Calypte,ANHU,F,NA,12:02:00,BH,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
